Problema,n,K,m,Iter,|LRC|,z,S,CPU
max_div_20_3.txt,20,3,2,10,3,2.7544219425232517,"{[4.4  3.24 4.43], [6.92 9.54 4.14], [4.84 9.69 4.9 ], [3.86 6.33 4.46]}",0.052357700000357
max_div_20_3.txt,20,3,2,20,2,3.1016818601319276,"{[7.39 2.44 5.52], [0.96 7.43 5.55], [4.84 9.69 4.9 ], [3.86 6.33 4.46], [0.83 7.06 3.34]}",0.09208899999975984
max_div_20_3.txt,20,3,2,20,3,3.0055215601820513,"{[3.61 4.63 2.91], [8.87 9.56 5.34], [4.84 9.69 4.9 ], [3.86 6.33 4.46]}",0.08697469999970053
max_div_20_3.txt,20,3,3,10,2,3.498946766561327,"{[6.92 9.54 4.14], [0.65 3.76 9.07], [4.84 9.69 4.9 ], [3.86 6.33 4.46], [0.83 7.06 3.34]}",0.03791330000058224
max_div_20_3.txt,20,3,3,10,3,3.3395920409535056,"{[6.39 6.23 5.71], [8.02 0.12 3.56]}",0.04876250000052096
max_div_20_3.txt,20,3,3,20,2,2.9152600047346517,"{[4.32 4.61 6.17], [8.87 9.56 5.34], [4.84 9.69 4.9 ], [3.86 6.33 4.46]}",0.11299220000000787
max_div_20_3.txt,20,3,3,20,3,2.7544219425232517,"{[4.4  3.24 4.43], [6.92 9.54 4.14], [4.84 9.69 4.9 ], [3.86 6.33 4.46]}",0.09733539999979257
max_div_20_3.txt,20,3,4,10,2,3.1016818601319276,"{[7.39 2.44 5.52], [0.96 7.43 5.55], [4.84 9.69 4.9 ], [3.86 6.33 4.46], [0.83 7.06 3.34]}",0.051013700000112294
max_div_20_3.txt,20,3,4,10,3,3.2632575748782076,"{[4.32 4.61 6.17], [9.6  2.02 9.  ]}",0.04588469999907829
max_div_20_3.txt,20,3,4,20,2,3.1016818601319276,"{[7.39 2.44 5.52], [0.96 7.43 5.55], [4.84 9.69 4.9 ], [3.86 6.33 4.46], [0.83 7.06 3.34]}",0.0995891999991727
max_div_20_3.txt,20,3,4,20,3,3.1461768304927125,"{[7.39 2.44 5.52], [0.83 7.06 3.34], [4.84 9.69 4.9 ], [3.86 6.33 4.46]}",0.09822080000049027
max_div_20_3.txt,20,3,5,10,2,2.9152600047346517,"{[4.32 4.61 6.17], [8.87 9.56 5.34], [4.84 9.69 4.9 ], [3.86 6.33 4.46]}",0.04459049999968556
max_div_20_3.txt,20,3,5,10,3,2.9152600047346517,"{[4.32 4.61 6.17], [8.87 9.56 5.34], [4.84 9.69 4.9 ], [3.86 6.33 4.46]}",0.04618120000122872
